TOURIST ATTRACTIONS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/Services,Email,Website,Business Days/Hours
1,AGBOKIM WATERFALLS,"Agbokim, Etung LGA",,,,,,,,
2,ALOK MONOLITH MUSEUM,"Alok, Ikom LGA",,,,,,,,
3,AQUA VISTA,"1 Mesembe Close, Anantigha Village, Calabar",07034460694,Resort,,,,,,
4,BEECHEVE NATURE RESERVE/ CANOPY WALKWAY,"Buanchor, Boki LGA",,,,,,,,
5,CABLE CAR BOTTOM HILL,"Obudu Mountain Resort, Obanlikwu",,,,,,,,
6,CALABAR BOTANICAL GARDEN (EST.1893),"Mary Slessor Avenue, Calabar Municipal",,,,,,,,
7,CALABAR MARINA RESORT,"Marina Beach Calabar,  Calabar South",23487239400,,,,,,,
8,CANOPY WALKWAY BUANCHOR,"Buanchor, Boki LGA",,,,,,,,
9,CERCOPAN (RHOKO FOREST),"Ikoi Esai,  Akamkpa",,,,,,,,
10,CERCOPAN CONSERVATION/ EDUCATION CENTRE  CALABAR,"4 Ishie Lane,  Calabar Municipal",,,,,,,,
11,CROSS RIVER NATIONAL PARK ( OKWANGWODIV),"Botatong, Boki LGA",,,,,,,,
12,CROSS RIVER NATIONAL PARK(AKAMKPA),"Obung/ Nsan, Akamkpa LGA",,,,,,,,
13,CULTURAL CENTRE,"Mary Slessor Avenue, Calabar",,,,,,,,
14,DRILL RANCH BUANCHOR,"Buanchor, Boki LGA",,,,,,,,
15,DRILL REHAB CENTRE PANDRILLUS (CALABAR),"Nsefik EyoCresent Marian, Calabar Municipal",,,,,,,,
16,DUKE TOWN PRESBYTERIAN CHURCH,"Eyamba/ Offiong Square, Calabar South",,,,,,,,
17,EKIKAK PRINTING WORKS,"11 Anderson, Calabar South",,,,,,,,
18,EKPO EKPO BASSEY’S HOUSE (1886),"19 Boco Street, Calabar South",,,,,,,,
19,ELDER EFIONG UKPONG AYE’S LIBRARY,"Off Paliamentary Road, Calabar Municipal",,,,,,,,
20,EMANGABE MONOLITH MUSEUM,"Emangabe,  Ikom LGA",,,,,,,,
21,"EYO EMA EKON ESQ,S HOUSE( 1895) CREEK TOWN","Creek Town, Odukpani LGA",,,,,,,,
22,GAKEM HILL,"Gakem,  Bekwara LGA",,,,,,,,
23,GREAT DUKE EPHRAIM IV’S 1826 BRASS CHAIR,"Etubom I.G Henshaw’ Residence, Calabar South",,,,,,,,
24,KWA FALLS,"Anegege, Akamkpa LGA",,,,,,,,
25,MARY MITCHELL SLESSOR,"Akpap-Okoyong, Odukpani LGA",,,,,,,,
26,NDIDEM OF THE QUAS ‘S  PALACE,"BigQua, Calabar Municipal",,,,,,,,
27,NKARASI 11 MONOLITH MUSEUM,Nkarasis.  Ikom LGA,,,,,,,,
28,OBUDU DAM,Obudu LGA,,,,,,,,
29,OBUDU MOUNTAIN RESORT,Obudu Mountain Resort Reception,,,,,,,,
30,OKPOMAYALA SALT PONDS,"Okpoma, Yala LGA",,,,,,,,
31,REFOME LAKE,"Ebom,  Abi LGA",,,,,,,,
32,SIXTUS ALEXANDER PEDRO FERNANDER’S PHOTO STUDIO,"Egerton Street, Calabar South",,,,,,,,
33,THE EUROPEAN CEMETERY,"Ene Ndem/ Anderson/ Effiwatt, Calabar South",,,,,,,,
34,THE GROTTO MINI FALLS,"Obudu Mountain Resort, Obanlikwu",,,,,,,,
35,THE OLD RESIDENCY NATIONAL MUSEUMS,"Colonia Hill, Calabar Municipal",,,,,,,,
36,THE PALACE OF OBONG OF CALABAR,"7 Effanga Ansa, Calabar South",,,,,,,,
37,TINAPA BUSINESS & LEISURE RESORT,"Tinapa Business Resort Adiabo, Calabar",08168900002 08039639030,Resort,,,"Tinapa Games Arcade, Water Park,",,www.tinapa.com.ng,
38,WATER PARK BOTTOM HILL,Obudu Mountain Resort. Obanlikwu,,,,,,,,